PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1987-88,,1987-12-27T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1987-88,,1988-01-17T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1987-88,,1988-02-14T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1990-91,,1991-01-06T00:00:00,,Award,Kia Motors,KIPWK,
931,Don,MacLean,Washington Bullets,NBA Most Improved Player,,1993-94,,,,Award,Kia Motors,KIMIP,
690,,,,,,,,,,,,,
923,Donyell,Marshall,Golden State Warriors,All-Rookie Team,2,1994-95,,,1610612744,Award,Kia Motors,KIART,
57,Doug,Christie,Sacramento Kings,All-Defensive Team,2,2000-01,,,1610612758,Award,Kia Motors,KIADT,
57,Doug,Christie,Sacramento Kings,All-Defensive Team,2,2001-02,,,1610612758,Award,Kia Motors,KIADT,
57,Doug,Christie,Sacramento Kings,All-Defensive Team,1,2002-03,,,1610612758,Award,Kia Motors,KIADT,
57,Doug,Christie,Sacramento Kings,All-Defensive Team,2,2003-04,,,1610612758,Award,Kia Motors,KIADT,
77,,,,,,,,,,,,,
28,,,,,,,,,,,,,
1003,,,,,,,,,,,,,
190,,,,,,,,,,,,,
273,,,,,,,,,,,,,
368,,,,,,,,,,,,,
1863,,,,,,,,,,,,,
1516,,,,,,,,,,,,,
698,,,,,,,,,,,,,
224,Eddie,Jones,Los Angeles Lakers,All-Defensive Team,2,1997-98,,,1610612747,Award,Kia Motors,KIADT,
224,Eddie,Jones,Charlotte Hornets,All-Defensive Team,2,1998-99,,,1610612740,Award,Kia Motors,KIADT,
224,Eddie,Jones,Charlotte Hornets,All-Defensive Team,2,1999-00,,,1610612740,Award,Kia Motors,KIADT,
224,Eddie,Jones,Charlotte Hornets,All-NBA,3,1999-00,,,1610612740,Award,Kia Motors,KIANT,
224,Eddie,Jones,Los Angeles Lakers,All-Rookie Team,1,1994-95,,,1610612747,Award,Kia Motors,KIART,
224,Eddie,Jones,,NBA All-Star,,1996-97,,,,Award,All-Star,,
224,Eddie,Jones,,NBA All-Star,,1997-98,,,,Award,All-Star,,
224,Eddie,Jones,,NBA All-Star,,1999-00,,,,Award,All-Star,,
224,Eddie,Jones,Los Angeles Lakers,NBA Player of the Month,,1997-98,11/01/1997,,,Award,Kia Motors,KIPMO,
224,Eddie,Jones,Miami Heat,NBA Player of the Week,,2001-02,,2002-01-06T00:00:00,East,Award,Kia Motors,KIPWK,
922,Elden,Campbell,Detroit Pistons,NBA Champion,,2003-04,,,,Award,Champion,,
695,,,,,,,,,,,,,
386,Elliot,Perry,Phoenix Suns,NBA Player of the Week,,1994-95,,1994-11-20T00:00:00,,Award,Kia Motors,KIPWK,
376,Eric,Montross,Boston Celtics,All-Rookie Team,2,1994-95,,,1610612738,Award,Kia Motors,KIART,
785,,,,,,,,,,,,,
15,,,,,,,,,,,,,
35,,,,,,,,,,,,,
727,Eric,Snow,Philadelphia 76ers,All-Defensive Team,2,2002-03,,,1610612755,Award,Kia Motors,KIADT,
727,Eric,Snow,Cleveland Cavaliers,J. Walter Kennedy Citizenship,,2004-05,,,,Award,Kia Motors,KIWKC,
727,Eric,Snow,Philadelphia 76ers,NBA Sportsmanship,,1999-00,,,,Award,Kia Motors,KSPRT,
1540,,,,,,,,,,,,,
677,,,,,,,,,,,,,
956,,,,,,,,,,,,,
1065,,,,,,,,,,,,,
911,,,,,,,,,,,,,
1564,,,,,,,,,,,,,
1732,,,,,,,,,,,,,
280,Felton,Spencer,Minnesota Timberwolves,All-Rookie Team,2,1990-91,,,1610612750,Award,Kia Motors,KIART,
697,,,,,,,,,,,,,
202,,,,,,,,,,,,,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1993-94,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1994-95,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1995-96,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1996-97,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1997-98,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1998-99,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,1999-00,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,2000-01,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-Defensive Team,1,2001-02,,,1610612760,Award,Kia Motors,KIADT,
56,Gary,Payton,Seattle SuperSonics,All-NBA,3,1993-94,,,1610612760,Award,Kia Motors,KIANT,
